JOBNAME;ExecutableName;BatFile;LogFile;Control-m FOLDER;Control-m APPLICATION;Control-m SUB_APPLICATION
P.JW.GR.EDW.ETALIA_B.EOS.PUT;;D:\WINSCHED\EDW_EOS_ETALIAB\EOS_ETALIAB_PUT\EDW_EOS_ETALIAB_PUT.bat;;P.FL.GR.EDW.TO.DOVALUE;EDW;EDW.OUTPUT
P.JW.GR.GGS.MFREPORTTRANSFER.BAT.cmd;;D:\WINSCHED\MFReports\MFReportTransfer.bat;;P.FL.GR.GGS.MFREPORTS;PLATFORMS;DMS
P.JW.GR.INV.NBG.ISP2.BATCHLOADER.NOSTRO.EXE.cmd;;G:\WINSCHED\OAF\NostroAccountsMessageSender\NostroAccountsMessageSender.bat;;P.FL.GR.INV.NBG.ISP2.BATCHLOADER.NOSTRO;WEALTH;WEALTH
P.JW.GR.SAP.ERGANI.BAT.cmd;;G:\WINSCHED\UC4\SAP_HR\ERGANI\ERGANI.bat;;P.FL.GR.SAP.ERGANI;SAP;SAP.HR
P.JW.GR.SAP.ERGANI.BAT_1.cmd;;G:\WINSCHED\UC4\SAP_HR\ERGANI\ERGANI.bat;;P.FL.GR.SAP.ERGANI;SAP;SAP.HR
P.JW.GR.WNS.WNSPD257.cmd;;G:\WINSCHED\MYNBG\CashMonitoring\MFToCashMonitoring.cmd;;P.FL.GR.WNS.WNSPD257;MYNBG;MYNBG
EDWPDE5X;\\S000013845\WINSCHED\EDW\Packages\EDW_L_WLTH_INV_DERIV_D.dtsx;\\S000013845\WINSCHED\EDW\EDWPDE5X\EDW_L_WLTH_INV_DERIV_D.bat;\\S000013845\WINSCHED\EDW\EDWPDE5X\OUTPUT.LOG;ZNTBEDW.EDW2;EDW;EDW
EDWPDE5W;\\S000013845\WINSCHED\EDW\Packages\EDW_L_WLTH_ACC_X_ACC_D.dtsx;\\S000013845\winsched\EDW\EDWPDE5W\EDW_L_WLTH_ACC_X_ACC_D.bat;\\S000013845\winsched\EDW\EDWPDE5W\OUTPUT.LOG;ZNTBEDW.EDW2;EDW;EDW
EDWPDE91;\\S000013845\WINSCHED\EDW\Packages\EDW_TL_WLTH_PARALIST_MAP_D.dtsx;\\S000013845\WINSCHED\EDW\EDWPDE91\EDW_TL_WLTH_PARALIST_MAP_D.bat;\\S000013845\WINSCHED\EDW\EDWPDE91\OUTPUT.LOG;ZNTBEDW.EDW2;EDW;EDW
EDWPDE5B;\\S000013845\WINSCHED\EDW\Packages\EDW_L_WLTH_INV_PORTF_D.dtsx;\\S000013845\WINSCHED\EDW\EDWPDE5B\EDW_L_WLTH_INV_PORTF_D.bat;\\S000013845\WINSCHED\EDW\EDWPDE5B\OUTPUT.LOG;ZNTBEDW.EDW2;EDW;EDW
EDWPDE5D;\\S000013845\WINSCHED\EDW\Packages\EDW_L_WLTH_INV_PORTF_X_GRPS_D.dtsx;\\S000013845\WINSCHED\EDW\EDWPDE5D\EDW_L_WLTH_INV_PORTF_X_GRPS_D.bat;\\S000013845\WINSCHED\EDW\EDWPDE5D\OUTPUT.LOG;ZNTBEDW.EDW2;EDW;EDW
EDWPDE5H;\\S000013845\WINSCHED\EDW\Packages\EDW_L_WLTH_INV_PORTF_MBRS_D.dtsx;\\S000013845\WINSCHED\EDW\EDWPDE5H\EDW_L_WLTH_INV_PORTF_MBRS_D.bat;\\S000013845\WINSCHED\EDW\EDWPDE5H\OUTPUT.LOG;ZNTBEDW.EDW2;EDW;EDW
EDWPDE5J;\\S000013845\WINSCHED\EDW\Packages\EDW_L_WLTH_INV_REP_POS_D.dtsx;\\S000013845\WINSCHED\EDW\EDWPDE5J\EDW_L_WLTH_INV_REP_POS_D.bat;\\S000013845\WINSCHED\EDW\EDWPDE5J\OUTPUT.LOG;ZNTBEDW.EDW2;EDW;EDW
EDWPDE5O;\\S000013845\WINSCHED\EDW\Packages\EDW_L_WLTH_INV_MTD_BAL_D.dtsx;\\S000013845\WINSCHED\EDW\EDWPDE5O\EDW_L_WLTH_INV_MTD_BAL_D.bat;\\S000013845\WINSCHED\EDW\EDWPDE5O\OUTPUT.LOG;ZNTBEDW.EDW2;EDW;EDW
EDWPDE5I;\\S000013845\WINSCHED\EDW\Packages\EDW_L_WLTH_INV_REP_EVAL_POS_D.dtsx;\\S000013845\WINSCHED\EDW\EDWPDE5I\EDW_L_WLTH_INV_REP_EVAL_POS_D.bat;\\S000013845\WINSCHED\EDW\EDWPDE5I\OUTPUT.LOG;ZNTBEDW.EDW2;EDW;EDW
EDWPDE5Y;\\S000013845\WINSCHED\EDW\Packages\EDW_L_WLTH_INV_POS_DERIV_D.dtsx;\\S000013845\WINSCHED\EDW\EDWPDE5Y\EDW_L_WLTH_INV_POS_DERIV_D.bat;\\S000013845\WINSCHED\EDW\EDWPDE5Y\OUTPUT.LOG;ZNTBEDW.EDW2;EDW;EDW
EDWPDE5E;\\S000013845\WINSCHED\EDW\Packages\EDW_L_WLTH_INV_POS_D.dtsx;\\S000013845\WINSCHED\EDW\EDWPDE5E\EDW_L_WLTH_INV_POS_D.bat;\\S000013845\WINSCHED\EDW\EDWPDE5E\OUTPUT.LOG;ZNTBEDW.EDW2;EDW;EDW
EDWPDE57;\\S000013845\WINSCHED\EDW\Packages\EDW_L_WLTH_INV_NON_NBG_PRT_D.dtsx;\\S000013845\WINSCHED\EDW\EDWPDE57\EDW_L_WLTH_INV_NON_NBG_PRT_D.bat;\\S000013845\WINSCHED\EDW\EDWPDE57\OUTPUT.LOG;ZNTBEDW.EDW2;EDW;EDW
EDWPDE56;\\S000013845\WINSCHED\EDW\Packages\EDW_L_WLTH_INV_NON_NBG_PRT_ADDR_D.dtsx;\\S000013845\WINSCHED\EDW\EDWPDE56\EDW_L_INV_NON_NBG_PRT_ADDR_D.bat;\\S000013845\WINSCHED\EDW\EDWPDE56\OUTPUT.LOG;ZNTBEDW.EDW2;EDW;EDW
EDWPDE5G;\\S000013845\WINSCHED\EDW\Packages\EDW_L_WLTH_INV_PRT_X_GRPS_D.dtsx;\\S000013845\WINSCHED\EDW\EDWPDE5G\EDW_L_WLTH_INV_PRT_X_GRPS_D.bat;\\S000013845\WINSCHED\EDW\EDWPDE5G\OUTPUT.LOG;ZNTBEDW.EDW2;EDW;EDW
EDWPDE5F;\\S000013845\WINSCHED\EDW\Packages\EDW_L_WLTH_INV_PRT_X_DEPOS_D.dtsx;\\S000013845\WINSCHED\EDW\EDWPDE5F\EDW_L_WLTH_INV_PRT_X_DEPOS_D.bat;\\S000013845\WINSCHED\EDW\EDWPDE5F\OUTPUT.LOG;ZNTBEDW.EDW2;EDW;EDW
EDWPDE5A;\\S000013845\WINSCHED\EDW\Packages\EDW_L_WLTH_INV_NSTRMNTS_BOND_COUPON_D.dtsx;\\S000013845\WINSCHED\EDW\EDWPDE5A\EDW_L_INV_NSTRMNTS_COUPON_D.bat;\\S000013845\WINSCHED\EDW\EDWPDE5A\OUTPUT.LOG;ZNTBEDW.EDW2;EDW;EDW
EDWPDE5K;\\S000013845\WINSCHED\EDW\Packages\EDW_L_WLTH_INV_TRD_D.dtsx;\\S000013845\WINSCHED\EDW\EDWPDE5K\EDW_L_WLTH_INV_TRD_D.bat;\\S000013845\WINSCHED\EDW\EDWPDE5K\OUTPUT.LOG;ZNTBEDW.EDW2;EDW;EDW
EDWPDE59;\\S000013845\WINSCHED\EDW\Packages\EDW_L_WLTH_INV_ORD_D.dtsx;\\S000013845\WINSCHED\EDW\EDWPDE59\EDW_L_WLTH_INV_ORD_D.bat;\\S000013845\WINSCHED\EDW\EDWPDE59\OUTPUT.LOG;ZNTBEDW.EDW2;EDW;EDW
EDWPDE5N;\\S000013845\WINSCHED\EDW\Packages\EDW_L_WLTH_INV_TRD_X_TRN_D.dtsx;\\S000013845\WINSCHED\EDW\EDWPDE5N\EDW_L_WLTH_INV_TRD_X_TRN_D.bat;\\S000013845\WINSCHED\EDW\EDWPDE5N\OUTPUT.LOG;ZNTBEDW.EDW2;EDW;EDW
EDWPDE53;\\S000013845\WINSCHED\EDW\Packages\EDW_L_WLTH_INV_CASHFL_D.dtsx;\\S000013845\WINSCHED\EDW\EDWPDE53\EDW_L_WLTH_INV_CASHFL_D.bat;\\S000013845\WINSCHED\EDW\EDWPDE53\OUTPUT.LOG;ZNTBEDW.EDW2;EDW;EDW
EDWPDE58;\\S000013845\WINSCHED\EDW\Packages\EDW_L_WLTH_INV_NON_NBG_PRT_DOCS_D.dtsx;\\S000013845\WINSCHED\EDW\EDWPDE58\EDW_L_INV_NON_NBG_PRT_DOCS_D.bat;\\S000013845\WINSCHED\EDW\EDWPDE58\OUTPUT.LOG;ZNTBEDW.EDW2;EDW;EDW
EDWPDE5C;\\S000013845\WINSCHED\EDW\Packages\EDW_L_WLTH_INV_PORTF_FEES_ANN_D.dtsx;\\S000013845\WINSCHED\EDW\EDWPDE5C\EDW_L_WLTH_INV_PORTF_FEES_ANN_D.bat;\\S000013845\WINSCHED\EDW\EDWPDE5C\OUTPUT.LOG;ZNTBEDW.EDW2;EDW;EDW
EDWPDE5M;\\S000013845\WINSCHED\EDW\Packages\EDW_L_WLTH_INV_TRD_MSRS_D.dtsx;\\S000013845\WINSCHED\EDW\EDWPDE5M\EDW_L_WLTH_INV_TRD_MSRS_D.bat;\\S000013845\WINSCHED\EDW\EDWPDE5M\OUTPUT.LOG;ZNTBEDW.EDW2;EDW;EDW
EDWPDE5L;\\S000013845\WINSCHED\EDW\Packages\EDW_L_WLTH_INV_TRD_FEES_D.dtsx;\\S000013845\WINSCHED\EDW\EDWPDE5L\EDW_L_WLTH_INV_TRD_FEES_D.bat;\\S000013845\WINSCHED\EDW\EDWPDE5L\OUTPUT.LOG;ZNTBEDW.EDW2;EDW;EDW
EDWPDE52;\\S000013845\WINSCHED\EDW\Packages\EDW_L_WLTH_INV_ACC_ENTRS_D.dtsx;\\S000013845\WINSCHED\EDW\EDWPDE52\EDW_L_WLTH_INV_ACC_ENTRS_D.bat;\\S000013845\WINSCHED\EDW\EDWPDE52\OUTPUT.LOG;ZNTBEDW.EDW2;EDW;EDW
EDWPDE54;\\S000013845\WINSCHED\EDW\Packages\EDW_L_WLTH_INV_INSTRMNTS_D.dtsx;\\S000013845\WINSCHED\EDW\EDWPDE54\EDW_L_WLTH_INV_INSTRMNTS_D.bat;\\S000013845\WINSCHED\EDW\EDWPDE54\OUTPUT.LOG;ZNTBEDW.EDW2;EDW;EDW
EDWPDE55;\\S000013845\WINSCHED\EDW\Packages\EDW_L_WLTH_INV_INSTRMNTS_HIST_PRICE_D.dtsx;\\S000013845\WINSCHED\EDW\EDWPDE55\EDW_L_INV_INSTRMNTS_HST_PRICE_D.bat;\\S000013845\WINSCHED\EDW\EDWPDE55\OUTPUT.LOG;ZNTBEDW.EDW2;EDW;EDW
EDWPDE5V;\\S000013845\WINSCHED\EDW\Packages\EDW_L_WLTH_INV_INSTRMNTS_ACCRUALS_D.dtsx;\\S000013845\WINSCHED\EDW\EDWPDE5V\EDW_L_WLTH_INV_INSTR_ACCRUALS_D.bat;\\S000013845\WINSCHED\EDW\EDWPDE5V\OUTPUT.LOG;ZNTBEDW.EDW2;EDW;EDW
EDWPD2LL;;\\S000013845\WINSCHED\EDW\EDWPD2LL\EDWPD2LL.bat;\\S000013845\WINSCHED\EDW\EDWPD2LL\OUTPUT.LOG;ZNTBEDW.EDW2;EDW;EDW
EDWPDX21;;\\S000013845\WINSCHED\EDW\EDWPDX21\EDW_CONTROLS_EXEC_COLL_D.bat;\\S000013845\WINSCHED\EDW\EDWPDX21\EDW_CONTROLS_EXEC_COLL_D.LOG;ZNTBEDW.EDW2;EDW;EDW
EDWPDX22;;\\S000013845\WINSCHED\EDW\EDWPDX22\EDW_CTRL_ACT_COLL_D.BAT;\\S000013845\WINSCHED\EDW\EDWPDX22\EDW_CTRL_ACT_COLL_D.log;ZNTBEDW.EDW2;EDW;EDW
EDWPD24T;\\S000013845\WINSCHED\EDW\Packages\EDW_T_STG_COLL_ACC_ALLOCATION_FINREP_D.dtsx;\\S000013845\WINSCHED\EDW\EDWPD24T\EDW_T_STG_COLL_ACC_ALLCTN_FIN_D.bat;\\S000013845\WINSCHED\EDW\EDWPD24T\OUTPUT.LOG;ZNTBEDW.EDW2;EDW;EDW
EDWPD26T;\\S000013845\WINSCHED\EDW\Packages\EDW_L_COLL_COLL_ACC_ALLOCATION_FINREP_D.dtsx;\\S000013845\WINSCHED\EDW\EDWPD26T\EDW_L_COLL_ACC_ALLCTN_FINREP_D.bat;\\S000013845\WINSCHED\EDW\EDWPD26T\OUTPUT.LOG;ZNTBEDW.EDW2;EDW;EDW
EDWPDEND;\\S000013845\WINSCHED\EDW\Packages\EDW_FINAL_CHECKS.dtsx;\\S000013845\WINSCHED\EDW\EDWPDEND\EDWPDEND.bat;\\S000013845\WINSCHED\EDW\EDWPDEND\OUTPUT.LOG;ZNTBEDW.EDW2;EDW;EDW
EDWPD999;\\S000013845\WINSCHED\EDW\Packages\EDW_CLEAR_ARCHIVE_D.dtsx;\\S000013845\WINSCHED\EDW\EDWPD999\EDWPD999.bat;\\S000013845\WINSCHED\EDW\EDWPD999\OUTPUT.LOG;ZNTBEDW.EDW2;EDW;EDW
EDWPDX04;;\\S000013845\WINSCHED\EDW\EDWPDX04\EDW_CONTROLS_EXEC_TECH.bat;\\S000013845\WINSCHED\EDW\EDWPDX04\EDW_CONTROLS_EXEC_TECH.LOG;ZNTBEDW.EDW2;EDW;EDW
EDWPDX98;;\\S000013845\WINSCHED\EDW\EDWPDX98\EDW_CTRL_ACT_FEED_D.BAT;\\S000013845\WINSCHED\EDW\EDWPDX98\EDW_CTRL_ACT_FEED_D.log;ZNTBEDW.EDW2;EDW;EDW
EDWPD1LL;;\\S000013845\WINSCHED\EDW\EDWPD1LL\EDWPD1LL.bat;\\S000013845\WINSCHED\EDW\EDWPD1LL\OUTPUT.LOG;ZNTBEDW.EDW2;EDW;EDW
EDWPD10O;\\S000013845\WINSCHED\EDW\Packages\EDW_E_GFM_BUS_MVT_D.dtsx;\\S000013845\WINSCHED\EDW\EDWPD10O\EDW_E_GFM_BUS_MVT_D.bat;\\S000013845\WINSCHED\EDW\EDWPD10O\OUTPUT.LOG;ZNTBEDW.EDW2;EDW;EDW
EDWPD13M;\\S000013845\WINSCHED\EDW\Packages\EDW_T_GFM_BUS_MVT_D.dtsx;\\S000013845\WINSCHED\EDW\EDWPD13M\EDW_T_GFM_BUS_MVT_D.bat;\\S000013845\WINSCHED\EDW\EDWPD13M\OUTPUT.LOG;ZNTBEDW.EDW2;EDW;EDW
EDWPD15N;\\S000013845\WINSCHED\EDW\Packages\EDW_L_GFM_BUS_MVT_D.dtsx;\\S000013845\WINSCHED\EDW\EDWPD15N\EDW_L_GFM_BUS_MVT_D.bat;\\S000013845\WINSCHED\EDW\EDWPD15N\OUTPUT.LOG;ZNTBEDW.EDW2;EDW;EDW
EDWPD15V;\\S000013845\WINSCHED\EDW\Packages\EDW_L_GFM_EVN_TP_SUM_D.dtsx;\\S000013845\WINSCHED\EDW\EDWPD15V\EDW_L_GFM_EVN_TP_SUM_D.bat;\\S000013845\WINSCHED\EDW\EDWPD15V\OUTPUT.LOG;ZNTBEDW.EDW2;EDW;EDW
EDWPD10N;\\S000013845\WINSCHED\EDW\Packages\EDW_E_GFM_BUS_EVN_D.dtsx;\\S000013845\WINSCHED\EDW\EDWPD10N\EDW_E_GFM_BUS_EVN_D.bat;\\S000013845\WINSCHED\EDW\EDWPD10N\OUTPUT.LOG;ZNTBEDW.EDW2;EDW;EDW
EDWPD13L;\\S000013845\WINSCHED\EDW\Packages\EDW_T_GFM_BUS_EVN_D.dtsx;\\S000013845\WINSCHED\EDW\EDWPD13L\EDW_T_GFM_BUS_EVN_D.bat;\\S000013845\WINSCHED\EDW\EDWPD13L\OUTPUT.LOG;ZNTBEDW.EDW2;EDW;EDW
EDWPD15M;\\S000013845\WINSCHED\EDW\Packages\EDW_L_GFM_BUS_EVN_D.dtsx;\\S000013845\WINSCHED\EDW\EDWPD15M\EDW_L_GFM_BUS_EVN_D.bat;\\S000013845\WINSCHED\EDW\EDWPD15M\OUTPUT.LOG;ZNTBEDW.EDW2;EDW;EDW
EDWPD15X;\\S000013845\WINSCHED\EDW\Packages\EDW_L_GFM_CST_SUM_D.dtsx;\\S000013845\WINSCHED\EDW\EDWPD15X\EDW_L_GFM_CST_SUM_D.bat;\\S000013845\WINSCHED\EDW\EDWPD15X\OUTPUT.LOG;ZNTBEDW.EDW2;EDW;EDW
EDWPD10L;\\S000013845\WINSCHED\EDW\Packages\EDW_E_GFM_ACCNT_POST_D.dtsx;\\S000013845\WINSCHED\EDW\EDWPD10L\EDW_E_GFM_ACCNT_POST_D.bat;\\S000013845\WINSCHED\EDW\EDWPD10L\OUTPUT.LOG;ZNTBEDW.EDW2;EDW;EDW
EDWPD13J;\\S000013845\WINSCHED\EDW\Packages\EDW_T_GFM_ACCNT_POST_D.dtsx;\\S000013845\WINSCHED\EDW\EDWPD13J\EDW_T_GFM_ACCNT_POST_D.bat;\\S000013845\WINSCHED\EDW\EDWPD13J\OUTPUT.LOG;ZNTBEDW.EDW2;EDW;EDW
EDWPD15K;\\S000013845\WINSCHED\EDW\Packages\EDW_L_GFM_ACCNT_POST_D.dtsx;\\S000013845\WINSCHED\EDW\EDWPD15K\EDW_L_GFM_ACCNT_POST_D.bat;\\S000013845\WINSCHED\EDW\EDWPD15K\OUTPUT.LOG;ZNTBEDW.EDW2;EDW;EDW
EDWPD15J;\\S000013845\WINSCHED\EDW\Packages\EDW_L_GFM_ACC_MONTH_D.dtsx;\\S000013845\WINSCHED\EDW\EDWPD15J\EDW_L_GFM_ACC_MONTH_D.bat;\\S000013845\WINSCHED\EDW\EDWPD15J\OUTPUT.LOG;ZNTBEDW.EDW2;EDW;EDW
EDWPD15W;\\S000013845\WINSCHED\EDW\Packages\EDW_L_GFM_MRCH_SUM_D.dtsx;\\S000013845\WINSCHED\EDW\EDWPD15W\EDW_L_GFM_MRCH_SUM_D.bat;\\S000013845\WINSCHED\EDW\EDWPD15W\OUTPUT.LOG;ZNTBEDW.EDW2;EDW;EDW
EDWPD10V;\\S000013845\WINSCHED\EDW\Packages\EDW_E_GFM_POSLOG_D.dtsx;\\S000013845\WINSCHED\EDW\EDWPD10V\EDW_E_GFM_POSLOG_D.bat;\\S000013845\WINSCHED\EDW\EDWPD10V\OUTPUT.LOG;ZNTBEDW.EDW2;EDW;EDW
EDWPD13T;\\S000013845\WINSCHED\EDW\Packages\EDW_T_GFM_POSLOG_D.dtsx;\\S000013845\WINSCHED\EDW\EDWPD13T\EDW_T_GFM_POSLOG_D.bat;\\S000013845\WINSCHED\EDW\EDWPD13T\OUTPUT.LOG;ZNTBEDW.EDW2;EDW;EDW
EDWPD15U;\\S000013845\WINSCHED\EDW\Packages\EDW_L_GFM_POSLOG_D.dtsx;\\S000013845\WINSCHED\EDW\EDWPD15U\EDW_L_GFM_POSLOG_D.bat;\\S000013845\WINSCHED\EDW\EDWPD15U\OUTPUT.LOG;ZNTBEDW.EDW2;EDW;EDW
EDWPD10Q;\\S000013845\WINSCHED\EDW\Packages\EDW_E_GFM_MRCH_CLR_DTL_D.dtsx;\\S000013845\WINSCHED\EDW\EDWPD10Q\EDW_E_GFM_MRCH_CLR_DTL_D.bat;\\S000013845\WINSCHED\EDW\EDWPD10Q\OUTPUT.LOG;ZNTBEDW.EDW2;EDW;EDW
EDWPD13P;\\S000013845\WINSCHED\EDW\Packages\EDW_T_GFM_MRCH_CLR_DTL_D.dtsx;\\S000013845\WINSCHED\EDW\EDWPD13P\EDW_T_GFM_MRCH_CLR_DTL_D.bat;\\S000013845\WINSCHED\EDW\EDWPD13P\OUTPUT.LOG;ZNTBEDW.EDW2;EDW;EDW
EDWPD15Q;\\S000013845\WINSCHED\EDW\Packages\EDW_L_GFM_MRCH_CLR_DTL_D.dtsx;\\S000013845\WINSCHED\EDW\EDWPD15Q\EDW_L_GFM_MRCH_CLR_DTL_D.bat;\\S000013845\WINSCHED\EDW\EDWPD15Q\OUTPUT.LOG;ZNTBEDW.EDW2;EDW;EDW
EDWPD10P;\\S000013845\WINSCHED\EDW\Packages\EDW_E_GFM_GFM_CST_D.dtsx;\\S000013845\WINSCHED\EDW\EDWPD10P\EDW_E_GFM_GFM_CST_D.bat;\\S000013845\WINSCHED\EDW\EDWPD10P\OUTPUT.LOG;ZNTBEDW.EDW2;EDW;EDW
EDWPD13N;\\S000013845\WINSCHED\EDW\Packages\EDW_T_GFM_GFM_CST_D.dtsx;\\S000013845\WINSCHED\EDW\EDWPD13N\EDW_T_GFM_GFM_CST_D.bat;\\S000013845\WINSCHED\EDW\EDWPD13N\OUTPUT.LOG;ZNTBEDW.EDW2;EDW;EDW
EDWPD15O;\\S000013845\WINSCHED\EDW\Packages\EDW_L_GFM_GFM_CST_D.dtsx;\\S000013845\WINSCHED\EDW\EDWPD15O\EDW_L_GFM_GFM_CST_D.bat;\\S000013845\WINSCHED\EDW\EDWPD15O\OUTPUT.LOG;ZNTBEDW.EDW2;EDW;EDW
EDWPD10R;\\S000013845\WINSCHED\EDW\Packages\EDW_E_GFM_MRCH_CTG_D.dtsx;\\S000013845\WINSCHED\EDW\EDWPD10R\EDW_E_GFM_MRCH_CTG_D.bat;\\S000013845\WINSCHED\EDW\EDWPD10R\OUTPUT.LOG;ZNTBEDW.EDW2;EDW;EDW
EDWPD13Q;\\S000013845\WINSCHED\EDW\Packages\EDW_T_GFM_MRCH_CTG_D.dtsx;\\S000013845\WINSCHED\EDW\EDWPD13Q\EDW_T_GFM_MRCH_CTG_D.bat;\\S000013845\WINSCHED\EDW\EDWPD13Q\OUTPUT.LOG;ZNTBEDW.EDW2;EDW;EDW
EDWPD15R;\\S000013845\WINSCHED\EDW\Packages\EDW_L_GFM_MRCH_CTG_D.dtsx;\\S000013845\WINSCHED\EDW\EDWPD15R\EDW_L_GFM_MRCH_CTG_D.bat;\\S000013845\WINSCHED\EDW\EDWPD15R\OUTPUT.LOG;ZNTBEDW.EDW2;EDW;EDW
EDWPD10T;\\S000013845\WINSCHED\EDW\Packages\EDW_E_GFM_MRCH_TP_D.dtsx;\\S000013845\WINSCHED\EDW\EDWPD10T\EDW_E_GFM_MRCH_TP_D.bat;\\S000013845\WINSCHED\EDW\EDWPD10T\OUTPUT.LOG;ZNTBEDW.EDW2;EDW;EDW
EDWPD13R;\\S000013845\WINSCHED\EDW\Packages\EDW_T_GFM_MRCH_TP_D.dtsx;\\S000013845\WINSCHED\EDW\EDWPD13R\EDW_T_GFM_MRCH_TP_D.bat;\\S000013845\WINSCHED\EDW\EDWPD13R\OUTPUT.LOG;ZNTBEDW.EDW2;EDW;EDW
EDWPD15S;\\S000013845\WINSCHED\EDW\Packages\EDW_L_GFM_MRCH_TP_D.dtsx;\\S000013845\WINSCHED\EDW\EDWPD15S\EDW_L_GFM_MRCH_TP_D.bat;\\S000013845\WINSCHED\EDW\EDWPD15S\OUTPUT.LOG;ZNTBEDW.EDW2;EDW;EDW
EDWPD10S;\\S000013845\WINSCHED\EDW\Packages\EDW_E_GFM_MRCH_D.dtsx;\\S000013845\WINSCHED\EDW\EDWPD10S\EDW_E_GFM_MRCH_D.bat;\\S000013845\WINSCHED\EDW\EDWPD10S\OUTPUT.LOG;ZNTBEDW.EDW2;EDW;EDW
EDWPD13O;\\S000013845\WINSCHED\EDW\Packages\EDW_T_GFM_MRCH_D.dtsx;\\S000013845\WINSCHED\EDW\EDWPD13O\EDW_T_GFM_MRCH_D.bat;\\S000013845\WINSCHED\EDW\EDWPD13O\OUTPUT.LOG;ZNTBEDW.EDW2;EDW;EDW
EDWPD15P;\\S000013845\WINSCHED\EDW\Packages\EDW_L_GFM_MRCH_D.dtsx;\\S000013845\WINSCHED\EDW\EDWPD15P\EDW_L_GFM_MRCH_D.bat;\\S000013845\WINSCHED\EDW\EDWPD15P\OUTPUT.LOG;ZNTBEDW.EDW2;EDW;EDW
EDWPD10U;\\S000013845\WINSCHED\EDW\Packages\EDW_E_GFM_PARAM_EVN_TP_D.dtsx;\\S000013845\WINSCHED\EDW\EDWPD10U\EDW_E_GFM_PARAM_EVN_TP_D.bat;\\S000013845\WINSCHED\EDW\EDWPD10U\OUTPUT.LOG;ZNTBEDW.EDW2;EDW;EDW
EDWPD13S;\\S000013845\WINSCHED\EDW\Packages\EDW_T_GFM_PARAM_ENV_TP_D.dtsx;\\S000013845\WINSCHED\EDW\EDWPD13S\EDW_T_GFM_PARAM_ENV_TP_D.bat;\\S000013845\WINSCHED\EDW\EDWPD13S\OUTPUT.LOG;ZNTBEDW.EDW2;EDW;EDW
EDWPD15T;\\S000013845\WINSCHED\EDW\Packages\EDW_L_GFM_PARAM_EVN_TP_D.dtsx;\\S000013845\WINSCHED\EDW\EDWPD15T\EDW_L_GFM_PARAM_EVN_TP_D.bat;\\S000013845\WINSCHED\EDW\EDWPD15T\OUTPUT.LOG;ZNTBEDW.EDW2;EDW;EDW
EDWPD10M;\\S000013845\WINSCHED\EDW\Packages\EDW_E_GFM_BUS_CAMP_D.dtsx;\\S000013845\WINSCHED\EDW\EDWPD10M\EDW_E_GFM_BUS_CAMP_D.bat;\\S000013845\WINSCHED\EDW\EDWPD10M\OUTPUT.LOG;ZNTBEDW.EDW2;EDW;EDW
EDWPD13K;\\S000013845\WINSCHED\EDW\Packages\EDW_T_GFM_BUS_CAMP_D.dtsx;\\S000013845\WINSCHED\EDW\EDWPD13K\EDW_T_GFM_BUS_CAMP_D.bat;\\S000013845\WINSCHED\EDW\EDWPD13K\OUTPUT.LOG;ZNTBEDW.EDW2;EDW;EDW
EDWPD15L;\\S000013845\WINSCHED\EDW\Packages\EDW_L_GFM_BUS_CAMP_D.dtsx;\\S000013845\WINSCHED\EDW\EDWPD15L\EDW_L_GFM_BUS_CAMP_D.bat;\\S000013845\WINSCHED\EDW\EDWPD15L\OUTPUT.LOG;ZNTBEDW.EDW2;EDW;EDW
EDWPD10K;\\S000013845\WINSCHED\EDW\Packages\EDW_E_GFM_ACC_INFO_D.dtsx;\\S000013845\WINSCHED\EDW\EDWPD10K\EDW_E_GFM_ACC_INFO_D.bat;\\S000013845\WINSCHED\EDW\EDWPD10K\OUTPUT.LOG;ZNTBEDW.EDW2;EDW;EDW
EDWPD13I;\\S000013845\WINSCHED\EDW\Packages\EDW_T_GFM_ACC_INFO_D.dtsx;\\S000013845\WINSCHED\EDW\EDWPD13I\EDW_T_GFM_ACC_INFO_D.bat;\\S000013845\WINSCHED\EDW\EDWPD13I\OUTPUT.LOG;ZNTBEDW.EDW2;EDW;EDW
EDWPD15I;\\S000013845\WINSCHED\EDW\Packages\EDW_L_GFM_ACC_INFO_D.dtsx;\\S000013845\WINSCHED\EDW\EDWPD15I\EDW_L_GFM_ACC_INFO_D.bat;\\S000013845\WINSCHED\EDW\EDWPD15I\OUTPUT.LOG;ZNTBEDW.EDW2;EDW;EDW
EDWPD10W;\\S000013845\WINSCHED\EDW\Packages\EDW_E_GFM_PRLST_D.dtsx;\\S000013845\WINSCHED\EDW\EDWPD10W\EDW_E_GFM_PRLST_D.bat;\\S000013845\WINSCHED\EDW\EDWPD10W\OUTPUT.LOG;ZNTBEDW.EDW2;EDW;EDW
EDWPD194;\\S000013845\WINSCHED\EDW\Packages\EDW_TL_STG_GFM_PARALIST_MAP_D.dtsx;\\S000013845\WINSCHED\EDW\EDWPD194\EDW_TL_STG_GFM_PARALIST_MAP_D.bat;\\S000013845\WINSCHED\EDW\EDWPD194\OUTPUT.LOG;ZNTBEDW.EDW2;EDW;EDW
